Price,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,#,BOOKING,HOLDINGS,#,BKNG,BOOKING,HOLDINGS,#,BKNG,BOOKING,HOLDINGS,#,BKNG,BOOKING,HOLDINGS,#,BKNG,BOOKING,HOLDINGS,#,BKNG,BOOKING,HOLDINGS
Date,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02,,,,,1762.4056396484375,,,,1768.2416825501305,,,,1722.6595536443197,,,,1728.179535315232,,,,475500,,
2018-01-03,,,,,1801.322265625,,,,1806.121405865082,,,,1762.6524997224549,,,,1767.8170028858956,,,,525000,,
2018-01-04,,,,,1784.6239013671875,,,,1825.7524829479664,,,,1779.469282758122,,,,1815.522200764421,,,,592600,,
2018-01-05,,,,,1800.7099609375,,,,1802.6453838553423,,,,1783.1920691239502,,,,1797.3920414174695,,,,358600,,
2018-01-08,,,,,1828.6260986328125,,,,1851.4762885275861,,,,1802.3392552215114,,,,1804.6105083101966,,,,555600,,
2018-01-09,,,,,1841.937255859375,,,,1853.2339731739705,,,,1834.2447453793263,,,,1839.8733351429498,,,,368800,,
2018-01-10,,,,,1849.4617919921875,,,,1850.093793859335,,,,1832.1907709124373,,,,1832.28949483561,,,,274200,,
2018-01-11,,,,,1869.399169921875,,,,1877.0620276692346,,,,1854.3697467717052,,,,1856.4632004526616,,,,385900,,
2018-01-12,,,,,1895.3699951171875,,,,1901.8675730668656,,,,1866.3479302989338,,,,1874.2774272227732,,,,555300,,
2018-01-16,,,,,1895.43896484375,,,,1925.4188551706393,,,,1890.9854186189762,,,,1906.5382348400883,,,,604900,,
2018-01-17,,,,,1925.488037109375,,,,1934.4345467634232,,,,1894.6589282550192,,,,1903.4178744950939,,,,515700,,
2018-01-18,,,,,1902.5882568359375,,,,1932.9829314224567,,,,1901.8575310086778,,,,1924.253638741386,,,,398600,,
2018-01-19,,,,,1886.2947998046875,,,,1909.5895480391605,,,,1877.2297977000105,,,,1907.2985261248298,,,,634500,,
