Price,Close,High,Low,Open,Volume
Ticker,CRM,CRM,CRM,CRM,CRM
Date,,,,,
2018-01-02,103.50305938720703,103.790533683383,101.38164126813626,101.98634318543313,4669200
2018-01-03,104.37540435791016,105.2180193609357,103.71122609601774,103.98879267930877,3888700
2018-01-04,105.75333404541016,106.72482469103207,104.8512350485382,105.07924050192948,4540200
2018-01-05,107.16100311279297,107.35927037892834,106.268819322991,106.82396010504716,3368400
2018-01-08,107.91439056396484,108.191957139907,106.63559521355538,107.06186033035853,2933600
2018-01-09,108.20187377929688,108.39021820788709,107.30969008582038,108.05317523653045,3302300
2018-01-10,107.85491180419922,108.53891297614291,107.28986341183438,107.73595146149859,3113300
2018-01-11,108.15231323242188,108.44971034037958,107.72604807801457,108.05318338414351,3668100
2018-01-12,109.28240966796875,109.74832827229235,107.96396832164851,108.28118837263781,5749500
2018-01-16,107.94413757324219,110.47199028491463,107.2898745284034,109.88711132660468,5790800
2018-01-17,109.08414459228516,109.42118757097232,108.2811830322533,108.79666275351669,4254700
2018-01-18,110.79911041259766,111.19563733898379,109.26257897214418,109.2724942251624,3842800
2018-01-19,110.95773315429688,111.42365176313082,110.6405131002367,111.23529975620919,3120900
2018-01-22,111.90937805175781,111.9787696927707,110.04571143375347,110.66032095040426,2214700
2018-01-23,112.25634765625,112.77183495308248,111.70121447177416,112.19687126166255,2816800
2018-01-24,111.86973571777344,112.85113404190771,111.52277747824338,112.64295909818968,4975500
2018-01-25,110.98745727539062,112.48434276084139,110.92798088627394,112.2959907778096,4715100
2018-01-26,112.71235656738281,112.93044677581473,111.0568646224646,111.74087344652419,3927400
2018-01-29,112.31583404541016,113.41619274783312,111.86973838697993,112.71235343540694,3181500
2018-01-30,111.255126953125,112.46452317359343,110.86850769696906,111.44347139131924,3737700
2018-01-31,112.9205322265625,113.5252265453201,111.66155975912503,112.07790964277675,4181800
2018-02-01,111.76068878173828,113.27739732040669,111.55251384144285,112.31582951898173,4302800
2018-02-02,109.81771087646484,111.37407280517219,109.74831923237427,111.05685278031216,4403800
2018-02-05,106.71491241455078,110.64051343146865,106.56621385933182,108.20188284049495,6124000
2018-02-06,108.61822509765625,108.66779380028038,102.7893041610477,104.09783774123011,6857900
2018-02-07,109.09406280517578,111.31460311282669,107.86482851713691,108.12257216632214,4515400
2018-02-08,103.1263427734375,109.22292234526357,103.09660457837016,109.14361544966943,6803800
2018-02-09,106.05072021484375,107.17090173293494,101.48076443266376,104.40513619538346,6615800
2018-02-12,107.60708618164062,108.52900806256665,105.33697730144381,106.76446363475489,4624100
2018-02-13,106.75456237792969,107.14117407099035,105.00984835083386,107.07178242257234,7542800
2018-02-14,108.072998046875,108.27126529136105,105.8028967117056,105.8028967117056,7428000
2018-02-15,112.13739013671875,112.44469491328717,109.09405787770753,111.33442102804842,8341900
2018-02-16,111.87964630126953,113.15844167055005,111.6912943091913,111.85981579519705,4667300
2018-02-20,113.3567123413086,114.25881137700395,111.30469342496475,111.47321492730691,4287800
2018-02-21,113.4855728149414,114.6652307370931,113.17826048699918,113.77304707441239,4976500
2018-02-22,112.01844024658203,114.00106750758349,111.50296048649568,113.52523363716911,4763400
2018-02-23,113.96141052246094,113.96141052246094,111.76069312086273,112.64296161961191,4173500
2018-02-26,115.63672637939453,115.78542492356645,114.3678462536221,115.10141615824888,5418900
