Price,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,#,&,JOHNSON,#,&,JNJ,JOHNSON,#,&,JNJ,JOHNSON,#,&,JNJ,JOHNSON,#,&,JNJ,JOHNSON,#,&,JNJ,JOHNSON
Date,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02,,,,,,112.8825454711914,,,,113.46629590593525,,,,112.46906073460761,,,,113.2311800450378,,,,6842100,
2018-01-03,,,,,,113.96086883544922,,,,114.05815645673705,,,,112.61499900840151,,,,112.98795550877844,,,,5350500,
2018-01-04,,,,,,113.95277404785156,,,,114.43112138275666,,,,113.68522069834574,,,,113.8716927766322,,,,4837600,
2018-01-05,,,,,,114.89324188232422,,,,114.98242631626361,,,,113.73384424111197,,,,114.06626007409182,,,,6158800,
2018-01-08,,,,,,115.03919982910156,,,,115.12838428360851,,,,114.25275846788551,,,,114.8851528284745,,,,5129800,
2018-01-09,,,,,,116.86338806152344,,,,118.11195774219186,,,,115.33914953572909,,,,115.42833396800988,,,,8897000,
2018-01-10,,,,,,116.72557067871094,,,,116.87961765527166,,,,116.19857958430573,,,,116.38505164322798,,,,6558600,
2018-01-11,,,,,,117.39041900634766,,,,117.47960346894105,,,,116.49858675168062,,,,116.85532460205417,,,,4962200,
2018-01-12,,,,,,118.17683410644531,,,,118.71194076277197,,,,117.47957729187955,,,,117.55255537866161,,,,5450600,
2018-01-16,,,,,,119.06866455078125,,,,120.04157775722543,,,,118.39572972041452,,,,118.71192682179044,,,,8804000,
2018-01-17,,,,,,119.16597747802734,,,,120.2524096211214,,,,117.94983261877456,,,,119.86323435884954,,,,10619700,
2018-01-18,,,,,,119.11734008789062,,,,119.53894045912571,,,,118.34711744307343,,,,119.12544326706721,,,,5554800,
2018-01-19,,,,,,119.47410583496094,,,,119.70922179869164,,,,118.71198619120055,,,,119.55518713074052,,,,8738800,
2018-01-22,,,,,,120.10646057128906,,,,120.10646057128906,,,,118.95517830591562,,,,119.19029419176923,,,,7010400,
2018-01-23,,,,,,114.99053955078125,,,,119.53892133697741,,,,114.82027384518223,,,,119.1497584872333,,,,17473600,
2018-01-24,,,,,,115.18511962890625,,,,116.3931487310708,,,,114.96621012781252,,,,116.34450492444178,,,,13034400,
2018-01-25,,,,,,117.07418823242188,,,,117.28499455880491,,,,115.29862741191302,,,,115.37969630022218,,,,7938800,
2018-01-26,,,,,,117.82820892333984,,,,118.04711843565585,,,,116.8552956270941,,,,117.15527403086006,,,,8065600,
2018-01-29,,,,,,116.49044799804688,,,,117.51201752450685,,,,116.36883846930849,,,,117.43905180726381,,,,8013400,
2018-01-30,,,,,,115.47700500488281,,,,116.60397781095368,,,,115.47700500488281,,,,116.26344635556698,,,,8376100,
2018-01-31,,,,,,112.03936004638672,,,,115.59050655047942,,,,111.96639433305258,,,,115.59050655047942,,,,13137400,
2018-02-01,,,,,,113.52306365966797,,,,114.05005477691867,,,,111.07455539789183,,,,111.50425889257669,,,,9393600,
2018-02-02,,,,,,111.6258544921875,,,,113.79870597139067,,,,111.38263546612161,,,,112.71228641742047,,,,9262500,
2018-02-05,,,,,,105.71540832519531,,,,111.07455332729722,,,,99.034721594275,,,,110.73403428340026,,,,19954100,
2018-02-06,,,,,,106.88288116455078,,,,107.82336915549058,,,,103.77765758203697,,,,105.40728665760099,,,,19193500,
2018-02-07,,,,,,106.55047607421875,,,,108.18010531325295,,,,106.49372909509185,,,,106.93153568857824,,,,10550400,
2018-02-08,,,,,,102.44802856445312,,,,106.41265973516413,,,,102.2453377840052,,,,106.13700324285817,,,,11680200,
2018-02-09,,,,,,105.01815032958984,,,,106.14511061860259,,,,101.70213199941193,,,,103.38851465835731,,,,15030900,
2018-02-12,,,,,,105.61810302734375,,,,106.46940668023713,,,,103.51822357016788,,,,105.39919354602556,,,,9963900,
2018-02-13,,,,,,105.36677551269531,,,,105.88566338999298,,,,104.34520611242037,,,,104.75870320158417,,,,6339000,
2018-02-14,,,,,,105.13166046142578,,,,105.40731697455902,,,,104.09388457682407,,,,104.94518839327851,,,,6259700,
2018-02-15,,,,,,106.39644622802734,,,,106.43698686035833,,,,104.9127481578144,,,,105.48029226792013,,,,5606400,
2018-02-16,,,,,,107.95311737060547,,,,109.00711202671984,,,,106.08025631916183,,,,106.17755631763994,,,,7970100,
2018-02-20,,,,,,106.10456085205078,,,,108.1963310934756,,,,105.93430753230551,,,,107.7260870201696,,,,6563500,
2018-02-21,,,,,,105.32622528076172,,,,107.36933915249556,,,,105.28568465613156,,,,106.0478038626365,,,,6578000,
2018-02-22,,,,,,105.32622528076172,,,,106.22617271399986,,,,104.97759075445636,,,,105.48027223159933,,,,5732200,
2018-02-23,,,,,,107.03694915771484,,,,107.08559296487253,,,,105.41542293905462,,,,105.47216992365084,,,,5126800,
2018-02-26,,,,,,107.76314544677734,,,,108.85652177940496,,,,106.89006792338603,,,,107.46940125064803,,,,6684400,
2018-02-27,,,,,,107.43678283691406,,,,108.59543732941313,,,,107.37967246675801,,,,107.87740546604488,,,,7158600,
2018-02-28,,,,,,105.97622680664062,,,,107.9753138292871,,,,105.96805928929942,,,,107.66524698193132,,,,7985900,
2018-03-01,,,,,,103.854736328125,,,,106.17204520362168,,,,103.23460887507645,,,,105.3479352554264,,,,9424000,
2018-03-02,,,,,,105.11128997802734,,,,105.34791136179788,,,,103.55281351961678,,,,103.55281351961678,,,,6910400,
2018-03-05,,,,,,105.90276336669922,,,,106.31890826474708,,,,104.58907569832549,,,,104.9562653025987,,,,5799800,
2018-03-06,,,,,,104.62171936035156,,,,106.23730628414765,,,,104.37693044450816,,,,106.07411782374588,,,,5546500,
