Price,Close,High,Low,Open,Volume
Ticker,LMT,LMT,LMT,LMT,LMT
Date,,,,,
2018-01-02,261.1189880371094,264.4635034398104,260.266454692741,263.9552705860239,1189600
2018-01-03,263.30767822265625,263.56179465607806,261.1927680633815,261.4796809768403,893400
2018-01-04,267.82440185546875,267.9719484719886,263.12730109853675,263.2912584611463,1443000
2018-01-05,270.25079345703125,270.6606618134086,267.2177826296665,267.22596298565617,1241100
2018-01-08,269.00482177734375,270.8492295121213,268.7179089042133,269.6606011876012,1084500
2018-01-09,270.93121337890625,272.0132469249061,269.21796649665987,269.6934028257406,865400
2018-01-10,271.3739013671875,273.5789957158639,270.52139296959496,271.3903121163166,1504600
2018-01-11,271.4394836425781,272.21821868758354,270.6443378490898,272.02969521110947,1152000
2018-01-12,275.6365051269531,275.7184838120518,271.35747793518203,271.6197997209446,1428100
2018-01-16,270.60333251953125,275.9808295284244,270.5131734695726,275.7185077199156,1374900
2018-01-17,274.4971008300781,275.21847334281574,270.7755131192331,271.7100002260896,1009600
2018-01-18,272.9722900390625,275.36593193790173,272.964084667755,273.8821856646656,973200
2018-01-19,272.1527099609375,274.5217621247901,271.97236680307884,273.9889130108507,1511800
2018-01-22,269.6934814453125,272.72651844684566,269.668890335198,271.9641440005175,1463000
2018-01-23,269.4476013183594,271.45594225228444,269.29184926426666,270.5050441912311,1066200
2018-01-24,270.9147644042969,272.5460573907886,268.39819183667424,269.58679499984464,1360200
2018-01-25,274.38238525390625,274.7676626664853,270.68536316828954,271.3657589261835,1782900
2018-01-26,282.727294921875,282.89943269253774,274.3987637458302,276.14480761171876,2057300
2018-01-29,288.0719299316406,290.4491617529069,280.4729534509789,286.90789261724217,2881100
2018-01-30,287.2275695800781,289.13754518534057,282.8501533551107,284.0551673687833,2032900
2018-01-31,290.8836364746094,293.8920568109317,288.91627296856905,289.59664357083216,1887200
2018-02-01,292.95758056640625,296.5726233373755,290.1950711854587,290.40000541272644,1579700
2018-02-02,289.0883483886719,293.4657393762856,288.15383654033803,291.00652926978046,1958600
2018-02-05,275.8086242675781,290.1786087219578,267.32434376746164,285.7848316802491,2947100
2018-02-06,276.73504638671875,278.71882118883184,268.2425819833575,269.45577688875704,2603000
2018-02-07,283.1617431640625,287.1866547970537,276.92355666233635,277.308834049261,2052900
2018-02-08,274.0380859375,287.71949930975427,273.80038020468845,287.0801054111088,2627600
