Price,Close,High,Low,Open,Volume
Ticker,MA,MA,MA,MA,MA
Date,,,,,
2018-01-02,145.4678497314453,146.90423818077028,144.71134363224942,145.56360019438097,3168900
2018-01-03,147.2968292236328,147.45003286034805,145.70722277267907,145.83169981427918,3732400
2018-01-04,149.20245361328125,150.7250218602912,147.7756504407507,147.9863073035474,3247200
2018-01-05,152.29542541503906,152.29542541503906,149.56629697911347,149.57586763891382,2747700
2018-01-08,152.755859375,153.91636216647777,151.61452804631872,152.09407804091057,3143100
2018-01-09,152.97642517089844,153.56147666132884,152.05568288107108,153.1202842936673,2573900
2018-01-10,153.32168579101562,153.42718734833295,151.12535381466472,152.7174482686799,2416900
2018-01-11,154.33831787109375,154.53973524201535,152.91885445048786,153.55186374801332,2804000
2018-01-12,155.69068908691406,155.8729204101264,153.69575953152614,154.8946344108672,3041000
2018-01-16,155.6522979736328,157.2348214028071,154.71238428020592,156.94708853980256,4673400
2018-01-17,157.59925842285156,157.77188933181142,156.21815261237688,156.44832715765668,3136000
2018-01-18,158.7118377685547,159.19138768959127,157.3978756680191,158.088428725088,4150600
2018-01-19,160.0066680908203,160.121755417306,158.40497271350256,159.4983462192341,2947800
2018-01-22,161.3973388671875,161.44529679176256,159.48872469284942,159.76687187456244,2275900
2018-01-23,160.35191345214844,162.0399239953346,159.83399131449502,161.60833197042538,3035300
2018-01-24,160.1792755126953,161.22470556837646,159.16263191910593,161.07124606583747,3912400
2018-01-25,161.69461059570312,162.0207009726731,160.29433326650283,161.13833102838396,2088900
2018-01-26,163.37306213378906,163.39224822817653,161.88645446485333,162.0974575990095,2191600
2018-01-29,161.65631103515625,163.82387180833896,161.4069356641505,163.16209045406194,3082800
2018-01-30,160.35191345214844,161.12878202392562,159.49831513276695,160.56291659938458,4227100
2018-01-31,162.08782958984375,162.7304245545391,160.188816512483,160.65876594212833,5815300
2018-02-01,165.85716247558594,169.49215981348266,164.0061064276979,165.45434221596324,6848400
2018-02-02,163.57447814941406,169.8661706625051,163.44979048900706,164.86925413288688,6556500
2018-02-05,157.85824584960938,164.92682192185543,157.30196616264777,160.52454234713736,7196000
2018-02-06,162.35643005371094,162.43315980194737,150.38686738818583,153.93553409457817,7259900
2018-02-07,161.82887268066406,165.5501838409804,160.60122635380276,162.08783367241253,4364800
2018-02-08,154.0506591796875,162.31811230459945,153.89721428028616,161.86733406984888,6557700
2018-02-09,158.44326782226562,159.68051463311215,152.08444675045226,155.05764704543452,6303000
2018-02-12,161.31101989746094,161.9152575376992,158.80776848966408,159.97787157742835,5227400
2018-02-13,163.1620635986328,163.78548728883078,160.17926244684332,160.48618142688585,3471000
2018-02-14,165.46389770507812,165.59817108853446,162.08786239070335,162.43313889597692,4203700
2018-02-15,167.54510498046875,167.55469070760626,164.35130167992585,166.8353660354488,3915000
2018-02-16,168.4658966064453,169.44418263134438,167.01766098273765,167.21907840701525,4213100
2018-02-20,168.1781463623047,169.21396120973952,166.92171340154255,167.72736831078177,3750100
2018-02-21,165.27206420898438,169.1372347562495,165.23369202627669,168.17813507435343,5999500
2018-02-22,165.8763427734375,166.72035546010665,163.8142836186127,166.25039118962866,5605800
2018-02-23,168.57138061523438,168.59056670952396,165.43513471253053,166.78745434855514,3093800
2018-02-26,170.59507751464844,170.85403855953638,168.85910921034736,169.2811154658087,4088100
2018-02-27,168.7344207763672,171.84190939662076,168.7344207763672,170.451217613668,3815900
2018-02-28,168.57138061523438,171.65009750447345,168.56179488544058,169.07970235364334,4145700
2018-03-01,166.39422607421875,170.0963518098178,165.1090212468503,169.1372520299704,4658500
2018-03-02,167.8616485595703,168.15896715152957,162.3468247928256,164.5431568623997,4190100
2018-03-05,171.22805786132812,171.93779686467533,165.83792255809664,167.00802529174248,4826500
2018-03-06,170.2689666748047,172.72425953792057,169.71268709883313,171.85147530830832,3820900
2018-03-07,171.88027954101562,172.35982943527864,168.36997080268208,168.5713735628398,2766100
2018-03-08,171.91864013671875,172.5324634268537,170.29775912386353,172.01455597114986,2235300
2018-03-09,175.74546813964844,175.83178361694212,172.60920741898533,172.87775421592318,4168900
2018-03-12,175.07408142089844,176.01400981754762,174.26844105351552,175.35222857480363,3589000
2018-03-13,173.6066436767578,176.21539621558583,172.78181729117688,175.966035544485,3286600
2018-03-14,172.75306701660156,174.55617948782245,172.2735170729537,174.5465937574425,2820700
2018-03-15,173.54908752441406,174.71919032741252,172.65713182942508,173.18463959056373,2258200
2018-03-16,175.08364868164062,175.67828579732017,173.60662698600484,173.60662698600484,4605000
2018-03-19,173.19427490234375,174.84392802688808,171.78439677107963,174.35477767438573,3770000
2018-03-20,175.0452880859375,175.7550271612473,173.8080558619697,173.8943713261464,2859300
2018-03-21,173.3572998046875,175.99482442135633,173.34771407457433,175.47691693589772,3238400
2018-03-22,168.3412322998047,172.88735683102956,167.94799779634727,171.8707131955186,4387300
2018-03-23,164.80210876464844,169.63596497638855,164.6390635663142,168.97418381951985,4324100
2018-03-26,169.9237518310547,170.2114847691498,165.98185009285578,168.15901127497233,5470100
2018-03-27,165.46389770507812,171.19931027657128,163.97729012307522,171.06503689311498,5069100
2018-03-28,163.3826446533203,165.85710907506308,161.65626221455756,165.20492828414183,5166600
2018-03-29,167.9958953857422,169.43454483658783,163.8334064869566,164.69659030358437,3719200
2018-04-02,164.58157348632812,168.5810189156373,162.1262650793117,167.49723118227132,4222400
2018-04-03,165.41595458984375,165.81877477625503,162.8647454412032,165.31045301949538,3612600
2018-04-04,166.58609008789062,166.89299449395776,161.0712647983435,162.26053949457352,4628300
2018-04-05,168.60977172851562,170.1826950386598,167.40129644256706,167.96717652735893,3434100
2018-04-06,162.99099731445312,168.22553151556832,162.28026220265153,166.51590404666157,5005500
2018-04-09,163.605712890625,167.20745902500232,163.41362269456673,164.4989535528327,3910700
2018-04-10,167.81260681152344,168.51374282997423,165.21935175713878,166.29506889838353,3149900
2018-04-11,165.54583740234375,168.6577509591706,165.315320401843,166.83285768017296,2783000
2018-04-12,167.88941955566406,169.50299501487711,166.31425627881794,166.47753370108038,3065600
2018-04-13,167.38034057617188,169.13799434461995,165.8724025822991,169.04194192449162,3059600
2018-04-16,166.9961700439453,169.1380191515025,166.13175675817672,168.67698505391834,4668200
2018-04-17,171.2895050048828,172.10590697702634,167.7645965006994,168.8211149757618,4210200
2018-04-18,172.3651580810547,172.69171285835912,170.069645949111,171.44310468306045,3150600
2018-04-19,171.9329376220703,172.47081065571794,171.21258843949084,172.00017724710438,3560400
2018-04-20,170.07928466796875,172.39401075030645,169.52221274843032,171.47195713904233,4233000
2018-04-23,168.4944610595703,171.29903330681486,167.79332532552965,171.11654251104818,4355000
2018-04-24,166.39108276367188,170.53068757632292,164.42212515206364,169.6950724534633,5369000
2018-04-25,165.65155029296875,166.9961966529845,163.90349536940212,166.5159637164723,3396200
2018-04-26,171.11656188964844,172.5284475524786,167.3323249242692,167.62046754729337,4784400
2018-04-27,168.98428344726562,171.92330520248902,168.25432036965435,171.4814846736433,3781000
2018-04-30,171.2222137451172,172.88381519875327,170.0984707049904,170.473051718366,4323900
2018-05-01,173.12391662597656,173.229568423454,169.91596518335774,171.2221989269238,4828300
2018-05-02,178.47372436523438,180.8076487325401,175.88045552750543,178.83869132652225,10133100
2018-05-03,179.1076202392578,180.4618802469534,176.66804407384632,177.30195488453896,5785700
2018-05-04,180.73077392578125,181.32625778851104,177.7917521244465,178.44486156672576,3593600
2018-05-07,181.6240692138672,182.0274630480507,180.21218346645318,180.8556937249514,4077300
2018-05-08,182.99752807617188,183.12239330655524,180.586764452708,181.42236491932044,3396400
2018-05-09,183.0935516357422,184.10202873412447,181.52798810674156,182.9782858045096,2933900
2018-05-10,185.4178924560547,186.06140266828683,183.39130939432076,183.48734716381577,2821200
2018-05-11,185.7060546875,186.4167899478831,184.4478322710188,185.3698858199095,3301700
2018-05-14,184.52468872070312,187.0219057158967,184.01564300834792,185.85013624259537,2877200
2018-05-15,184.40939331054688,184.60148349747033,182.6325261065358,183.4585271002943,2747500
2018-05-16,184.77438354492188,185.28342915901155,183.87154350316513,185.07212554687516,2109300
2018-05-17,183.64102172851562,184.83200436108996,183.0551371201058,184.4574233593553,2378300
