Price,Close,High,Low,Open,Volume
Ticker,NKE,NKE,NKE,NKE,NKE
Date,,,,,
2018-01-02,57.97010803222656,57.97010803222656,57.385747441329386,57.385747441329386,6511000
2018-01-03,57.96098709106445,58.12533799591503,57.30358347166212,57.96098709106445,6091100
2018-01-04,57.92445755004883,58.0248945901295,57.111835655641094,57.88793783978229,5780500
2018-01-05,58.41750717163086,58.709689219867315,57.95184867180517,58.161851797847596,11632300
2018-01-08,58.937957763671875,59.08404357269873,58.417510959937644,58.57273279197432,11905700
2018-01-09,58.5179443359375,59.09317592854714,57.95185224935266,58.64577899680724,8771300
2018-01-10,58.63663864135742,58.645771180078064,57.92445039199608,58.326198502672476,5010600
2018-01-11,58.70054626464844,58.71880437407045,58.23488436440672,58.46314904565076,5103500
2018-01-12,59.047515869140625,59.093171599398445,58.727946655595105,58.89229753200229,5135700
2018-01-16,57.90620040893555,59.677537107284785,57.860548155307136,59.14796121267292,9117000
2018-01-17,58.26229476928711,58.444907261900816,57.595762131834135,58.134463586327,7422600
2018-01-18,58.536197662353516,58.6275021451387,58.01575444778389,58.43576064146416,5656900
2018-01-19,61.366695404052734,61.39408605985815,59.45840541134315,59.63188188680656,12896100
2018-01-22,60.61799240112305,61.019740629694326,60.04276768246801,60.764085199180975,8491800
2018-01-23,61.30276870727539,61.47625211247692,60.66363031877392,60.74580226897297,6412000
2018-01-24,62.08800506591797,62.25235594620651,61.238860012108276,61.4853828494978,7421800
2018-01-25,61.82322311401367,62.672368249745446,61.58582582711897,62.206706216321635,5707600
2018-01-26,62.124515533447266,62.67234936683974,62.01494598033472,62.27060130484553,6290500
2018-01-29,61.70450973510742,62.21582038721821,61.558416996741386,61.9236418765713,5067300
2018-01-30,61.476253509521484,62.37104727375768,61.32103517822751,61.63147184081546,6350500
2018-01-31,62.28889083862305,62.845857428329744,61.604096536467715,61.631487193979865,11036400
2018-02-01,61.76844024658203,62.060618836128896,60.901030051989714,61.78669836076562,5790500
2018-02-02,61.37581253051758,61.896255758376505,61.17493848360963,61.37581253051758,9348300
2018-02-05,58.79186248779297,61.36668832791213,58.79186248779297,60.837112489781006,12549500
2018-02-06,59.54971694946289,59.732325987114955,56.69184092724332,57.04793342692662,13356700
2018-02-07,59.92405700683594,61.028857511949205,59.44013687285352,59.48579260726535,8845700
2018-02-08,57.057044982910156,59.997091900889984,57.02965085090268,59.83274104101649,14121800
2018-02-09,59.79621887207031,60.30753653709909,57.37661514146818,58.21662756575613,13733300
2018-02-12,60.24364471435547,61.010611043039724,59.96972418777488,60.20712151307217,9792200
2018-02-13,60.1431999206543,60.471901723859474,59.74145172427298,60.12493483931653,9538400
2018-02-14,62.051483154296875,62.11539699983404,59.85101478701441,60.00623313102085,8662600
2018-02-15,62.3527946472168,62.781933455322736,61.403212531981396,62.44409914624031,7390200
2018-02-16,62.3619270324707,63.00106549013887,61.85060930024944,61.99670207119458,6842100
2018-02-20,61.62234115600586,62.06061247847198,61.22059999033879,61.75930137965692,4859100
2018-02-21,61.22060012817383,62.106261382127165,61.20233504973318,61.777566597145466,5107900
2018-02-22,61.293643951416016,61.61322015233143,60.937551523166086,61.40321353168017,6515800
2018-02-23,62.23408889770508,62.23408889770508,61.03797717608792,61.53102974616067,4428500
2018-02-26,63.594539642333984,63.740625411496815,62.39842801226848,62.4440837335547,6499500
2018-02-27,62.115394592285156,64.14238642373724,62.115394592285156,63.91412170336806,6843100
2018-02-28,61.20233917236328,62.36192791843248,61.184081058779114,62.17931195215667,6091800
2018-03-01,60.5540657043457,61.78669382073387,59.960576028725754,61.394078216808666,7323900
2018-03-02,60.343421936035156,60.52658327076714,58.80484296795253,59.44592161382857,8380500
2018-03-05,59.57414245605469,59.97709883393303,58.92390357623444,59.967945657206066,8838400
2018-03-06,59.748130798339844,59.85803177984992,59.18947970318718,59.7206572997514,6550100
2018-03-07,58.768211364746094,59.33602270178131,58.5117826922648,59.07959402930001,6457600
